0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2025-05-17|Scott|Run|135,2025-05-17,2025-05-17,LSD Road,9.25,00:07:57,135,154,0,Boston 12,"Good lsd, boston new lace",Scott,01:13:39,Run,uxsGswvxRNQPFR?`@JLCDGZGL@TFXBLJ\JVTXJ@Bj@HJBABBCd@JJFVEHDVBlAVRRLDCVFLNJZ@@DK^@BHBL?FGFONIHAjANLH\JPRH`@VXJRNHXHb@Gh@D`Af@dA\n@TZTZLZPrAf@NJPTUW_@WaAe@_@Iw@s@YOOCCKQAMEGDGAg@QU[o@c@O?IAQ@u@KY?_@_@WAs@S[CCA?MKCM@SRQAEG?EFQJI@GGKE@CZGNPNJ@L[TMD@JRz@n@NDJ?HEF?t@p@d@TR@PER?XHNNv@b@hAb@`@T\TRFVPZN\Ff@P\X\EEEPoAn@XF?ZMBQNIX?JCJMBKAkAK{@BuAOq@[{@Kg@c@_AQk@w@uASQ@BCQMOHOQGGAQOY]c@w@QGa@YO@Yi@Mg@OKEAIUQy@cAaIYiAOw@AWW_ACDMOFOCI@IA?AMS}@i@uBQkAWs@M{@GOk@yBo@iBIa@IOWu@EUKQGe@Um@CQGGU_ACEAIMM[cAU}@EGs@wBK_@CQS_@e@cA_AqAm@a@_@[OGeAk@k@Ws@WMAKIm@QUOm@Ma@OMGWWSEIEc@e@][CM[WUYq@i@U]o@g@OOq@c@{AoAq@c@g@m@g@g@KAAESU_@[GM_BwAU[oB{BEEKAyAyAoBaCCKGK]Wg@i@cA_AaAw@m@_@e@e@w@e@]QOCGIq@[GOWYEKGIOc@OSMk@Ce@HaAPw@bAqC@IAMJe@|@}B|@kCf@mA~BuGxA{DV{@}ApEsCtHETWj@a@t@Ql@KPI\]x@KPIXSXAHB@CRE@AD@PEPm@zAEXQf@Qt@C~@@T?PBRDFBPHFHPFHFTNDPNFLb@\FHp@ZPNb@TfDbCJDj@p@`A`AJHLN@F\^RXXPBR\Xj@t@b@d@RDZZbAjAR\TRZ`@HDRTh@f@HRDDHBXXPJV\`@\RXVHRJVVjA|@`@d@n@|@NNPV^^jAh@NLFPZRRFx@x@p@Tj@d@x@^RBjAh@XJ\Vd@Jj@Vh@`@`@RLJv@`ADHJHHV@LHJPl@Hb@@PZj@s@RWAUT]Jc@R[Po@PANNt@?ZDBFb@@b@Cf@@H?MKK?HF\Ix@k@dAGRGPDLAJc@nA?NOl@C\K\E`@JN@D,00:03:39,174,26
2025-05-18|Scott|Swim|107,2025-05-18,2025-05-18,Swim,0.65,00:46:33,107,0,0,,Crosstrain - Swim Sunday - Might do this every sunday,Scott,00:30:12,Swim,,00:02:56,145,0
2025-05-19|Scott|Run|130,2025-05-19,2025-05-19,Easy Run,6.04,00:07:05,130,160,0,Novablast 3,"Sharp Shin pain, not shin splints, Day 1 polar HR",Scott,00:42:50,Run,k`vGezmxRD?DFLFt@LHD\DbBXlAJDBCGSGKIOAUGQOqACWISC_@OYAq@W]GUKUCSIM@EBg@BSCSI[@QCIEMQGAo@DICOM]QS?u@K_@D]IU?WEW?KBOHILCN?PB|@Pz@CXJTBV?VNz@Rx@`@t@ARBXDHJBHFAd@HTr@MTSDG?GHIXELGNCRIF?DJHDb@KN?FB`AzBPPRZZTN\CX@NFRVd@Lh@LPZ~@R\VbA^n@A@G?YDe@La@Nw@b@u@Lk@PEF@PZf@Pl@RV^bATVJXFl@Bf@CnA?n@H^Pf@KR@`@QlB@RCZ@hBC`@@RDHB@CN@JBCB@BNGnAMn@E~@@^RDBDSFONCNMXCTOZ@DAf@DIDAIj@CZDd@AJM\k@d@Mh@BLDNDFNB?CCDIBGAEGEWAEKCm@RYX]Lk@HQFO?YFUAOLiATc@@IESAMFCD@FILE@ACIHK\?VDJ?JHPBNLzB^nBBTCP@NVxA@ZFj@Ld@TN?MQYEMGc@Ek@_@mBKu@?MKa@EGMcAEoBIYAQFWVURIhAIXIN?XGLGRDL?TCLETAEDLOLAABB@NCx@c@ZGTDNHH?PCJRb@n@Jl@AXBRBHCVBNDPHHAJDDZLNBjA@fAA`ACZIROHODSGcB@YDO?]BKAy@Ec@FQAUFSAIDAAGGCCMDMAU@A@@?MBGCE?KCQ?k@Ea@?m@CKAUCIOS[K]A}@BGC?OBc@Gw@BWAg@Dq@LIPUfAkAPKFWA_@@IFKC[?wAE_@Bm@GgAJ]@WCiABuAEQGsAaCwFk@eBu@iBKOSeAy@qCIQQSIUMQmAgC@CDEb@[\GNI`@I,00:02:54,166,34
2025-05-20|Scott|Run|109,2025-05-20,2025-05-20,Tempo Run,1.28,00:07:09,109,162,0,Boston 12,needed to walk-run after 2k onwards. Hirap sa umaga mg tempo,Scott,00:09:12,Run,}_vG}pmxRCGQKYKw@Ec@@KD@DGAs@RMFAHMFAR\dAJRF^LXFDP\Zz@PRHN@RTb@Jb@FFV`A^v@DRKJ?HTl@CJaA`@[HmB|@[Je@Lg@Ve@J[NMLITIf@Ch@Kb@EBOBCDQHu@V_Bx@o@Vc@H[Pa@Go@PSCWQMk@GK@ISk@U[Se@QSGCK@e@VC?GGQ?,00:03:35,131,12
2025-05-20|Scott|Run|154,2025-05-20,2025-05-20,Tempo Run,4.01,00:05:36,154,176,0,Boston 12,needed to walk-run after 2k onwards. Hirap sa umaga mg tempo,Scott,00:22:30,Run,_`wGcslxRG?CCIa@M[eAcAk@m@UMUGQ?YFYRQZE\D`@Tf@lBhBXHZBZGLIPULa@@WEWW_@wBwBOEOAQ?UDULS`@EZDb@R\`B`BTNRHZ?PAXQPSJY@[CQKYw@w@eA_AUI[AS@YJQTKVCb@DTJRd@`@n@n@XXTLRFX?ZGTOLOFWA_@GYEIi@i@MQy@u@[Sk@AQBMHUVK^?VDX|@fAbA`AXJZBNA^OPON_@@WCWGQOSuAuAUOWMUAU@_@JWXIZ?VDVNTvBnBRHN@TAZKNONYDSCYOYwByBSIWAS@]NUVGX?^FZfAlAXV^XPFXBZEVMLOJYBSC[GSg@m@uAuAWKYAUBWJSRKZCXBRHR^f@tAxAZJVBZCPGLKR]D_@CSMYW]uAsAQMUIWA]FOHOPO^AVFZFLZ\bAdAZXRFRB^AVKPSL]?YEYQ]iAqAe@c@YGWAYDOFWTKXCZD\RZvBrBGBEC,00:03:50,169,0
2025-05-21|Scott|WeightTraining|113,2025-05-21,2025-05-21,WeightTraining,0,00:00:00,113,0,0,,"buhat day, sakit sa likod ng deadlift",Scott,00:50:12,WeightTraining,,00:00:00,137,0
2025-05-22|Scott|Run|129,2025-05-22,2025-05-22,Easy Run,6.03,00:06:49,129,164,0,Novablast 3,HR stable and easy. Hot spot Shin pain if i focus on it.,Scott,00:41:10,Run,}_vGy{mxRCLNd@ZTRHr@Tf@@XH`@DRN^ARHLCB@OKq@UoDi@k@QkAQm@W]C]KU?i@ISAI?AFE?u@UG?QHK?k@Ws@O_AGWEUIg@C_@?I@MTCPJh@@n@Hp@Tr@PbAL^DdAf@`CHTJFH?d@Ip@QPCfA_@BCD?ACBCJ?`@LZf@FXXl@\fAnAbCLb@zArDL`@EHkA`@STKNKFELGDs@LYJKPLl@LRHVRVd@bAZnABj@@hCAr@@`AE|EBlA?x@CJAvAEd@Ad@DbADXFLD@GFGZ@b@EXBRETGDI@?CCB?RShAOb@o@fAAHLXRPBFAFLL?@K@g@q@KEYLSNSF_@Be@Gk@J}@HcA^cAPw@ZMLKRAHDHCD?FLXLh@@x@JbAPn@L`AAXP~@Dx@Jv@HVLLHB[y@KoAQ{@Ks@@QGOA_@Qs@Kw@AsAKoAFWNKn@Oj@A`@Kr@Id@Mb@D`@Kj@E^[ZMFIJ?TEC?JOHGCLDJAPFNHDBNj@j@@l@BR?j@Fh@HN?RNAXJN?fEAZGPKNODO@]DKAKDO@QGe@AYDO?w@AOGQAOJu@FK?CQOCK@MHUEO@WHOGQBOEEBk@?OEQ@SO[CUGIKEa@Gu@BYCCCDE@UEK?GEQDk@Ce@H{@TWj@{@d@c@\c@EM?WDS@ME_@?UCc@JcACQ@WAe@BGCSBM?YE}@@KCa@F}@EQ@MA[CC@YMQeDmIYi@g@qAIWIu@Wq@_@o@AKQg@s@sASi@]q@S[FEJK,00:03:03,156,36
2025-05-24|Scott|Run|148,2025-05-24,2025-05-24,LSD Road,12.01,00:06:44,148,164,0,Boston 12,10k LSD 2k Todo,Scott,01:21:01,Run,{usGcyvxRRSJ?CBDF^HHL`ATTJNNf@T?BVPJRBALDd@RL@b@Ef@Mj@ANBHFDLDFFL^PCl@JLVDLOXKzAZn@XNPPFXR`@JNHR@ZJRL`@`@d@VFJdBn@^ZVN`@HPJb@NPJRVL?FCHQJ{@Eo@HAFCDWG{CGu@GYKYCOMIIMWy@CYWo@SYIW]e@YOeAuAQg@]k@E[g@sAEWBEFEj@I@A?IWgAC_@i@aEc@aCKmAO[@IKG?BB?@MGEIYGm@q@eCa@_Ca@yAS{AO[Ge@KYCQOSEUQW_@eA[q@k@yB_AiCa@eBq@uB_@}@OQAKUk@u@mAm@i@c@]OSe@SSOSGk@YgA]OK[CUK]OKMQMcA[]UUUq@[GS]QMSUQcAkAk@a@}CoC_@S[a@[[{@i@mAwAsBqBWc@_@c@WW]Mi@i@oCaDISUOa@e@uAqAwBaBSWa@UYIqB{A]a@k@iAKs@A[F_AFa@p@mBZw@?SPk@hAcDFU@WH]Zi@zAqDdCiH|EoMzAiENYJI^AP^EWICI?_@LUVeCtG}DzKlAcD|@{Cd@cAbAiC{HzSuBfGsA~CWz@w@nBOd@AZWr@[l@Wx@Qn@Cl@Hx@Vz@Tb@`AfAb@^ZJn@d@j@RJFBHfAt@XV\TlB|BNBFHHDFTNTn@l@bAlAt@x@RDj@n@TZxCtCNPHPd@f@DHXPPZd@f@lAx@n@d@PVHFNT`AdAl@d@^^RFp@b@HH@LHBVPNDVX`@ZdAh@\Z`CfA\FDD`@HNHjAZj@h@f@\h@p@b@r@d@`BHRFXh@xABXJJ?JJN@LDFVn@Fl@HNFZZr@FVDh@Rh@DZRj@j@jABLALVXX`AJ^?XHXFd@LXFF?FNRTx@F\FbAHZDd@Pp@Lt@BFX|@TfBRf@Fj@Pj@Jt@JvBFZLRLh@@HEHg@JGD?FBF@LJ`@Rp@RZp@bB|@jAZd@^V^p@Z~@BNLLR|@@VHd@Cd@^~A?LGPCRMJAJMLJ\BRCx@INIBGAWSw@e@w@Wu@c@cAc@{Ai@_Ai@aA_@OMw@W_@AUEm@UWUE@UT]r@{@hCOYBWb@iBZq@Ro@e@E]U_@Gc@[kC_AiDcAeAg@G@WGNJd@HPH\VZNg@_@k@UOACKI?,00:02:12,177,10
2025-05-26|Scott|Run|126,2025-05-26,2025-05-26,Easy Run,6.05,00:06:50,126,165,0,Novablast 3,"kamoteng shin pain. Triggered ata sa sapatos. Low energy today, dun siguro sa alak nung sat. HR is fine, energy level low, shin pain buset",Scott,00:41:23,Run,q`vGszmxRLLXLf@DJJf@Nb@?ZNNC^BPNd@@THWUWKkDo@WAyA]_@EMGq@MQKm@Aa@KOAIJC?YIQC]MSFKAm@QWCMIQCQGM?]Ia@Es@CU@KFIPAJHT@j@V`BXn@ARJbA?XFNB^NVFTDd@AFDTFR@TDIL@xA]v@MNGRE@CNAT@LD\b@DZ|@pBZ\HXF\N^DXHL|@bCR`@p@dBQBaBf@]R]H_AZGHCF@LFFVt@Vd@f@pAJPHd@DBBLBbFA`@@ZCvA@t@El@F`CAd@ELANC~@?dCFXFH@XHRKh@Q\CZQ`@GBECAVMb@GJAHBJETM^IJGROV@NMHS@m@\}@DODa@B_@JM@KHq@Pi@FQ?q@NKDSRM^Bh@Hj@DdAH~@Pp@Lr@@RCPHf@VzBLb@TVSg@?OEMKcAGY?QIa@EIAUGSIs@GUAUCACOEs@CsAIgABUHKVK|@Gt@Q`@EDE|@?bAQr@SLITCLINUAJXLDDZn@HLRNHN@^ETBNAXDh@HP\RLDR@lB?jBCRIXYDGDYAq@Fc@?QBIAs@Ku@Dm@FYIeA?ODW?WUkA@GQk@@CEHAC@MIi@BQFGL?BDDGGGa@OeBBEW?WCMBKC_BJm@BI~@gAt@u@DKD]CKDU@MGQAS?c@Bw@BO?MCE@ODIEG?WK]L]KkADOEY@WJa@@OCaAGUc@}@}@{BgAuCo@yA[}@M}@Wc@]{@ASiAoB_@u@IIc@w@AI@ERINCFG\OlAMf@APD,00:02:56,154,35
2025-05-27|Scott|Run|130,2025-05-27,2025-05-27,Easy Run,6.32,00:06:44,130,161,0,Boston 12,Shin pain. Boston 12 has to go. It’s just too narrow. It just causes so many problems.,Scott,00:42:37,Run,g`vGazmxRBBLA\LXANBNNVLb@CH@JJNBb@CTRTCR@[OUGGEk@GWKk@EaBW]CW?mASUIWCM?ECAKCASFKAGIOGIIYDMFDC?DK?KG@AUAGE[Ai@SMIM?a@G]A}@MeAEK?MDGHEN?JHl@Dd@?JL`AHXDDFf@Jd@H`BG^@NDDPh@Hf@JLJDR@b@Gr@UZA^BDE^OPB\OR@BBNV@PL\x@lAJZLp@Rf@NRBNfBjEVv@JPg@J{@Xk@Xw@Ve@REDAHDd@JZ^~@p@hAJZJj@@`@Eb@AfAE`A@j@Af@@zBCx@FdAArAE^GNFJ?dC@~@BHJBAJDXANBHG`@@`@ELAHDL@ZMJIXUTE@IFg@dAGRMLMHJRLNNJ?COFMOIAMVSJ?PCBGBMBWPOAQKGSGCwATUJi@JUJoAL[JOTMh@Hl@HdABf@Fh@Pp@Fb@HZA^BDBh@R`ABd@J^HNJFA@MIGQs@sFCYOo@MkACkASqA?OJOx@Yv@KHCj@GJE|AKLPZDNHL@XMLCC@?CCEBCD@DE@IDKTGX[FART^THPF~@R^CXBj@DTFD^NN@zCCdAFPEROLUAUKe@@CKO?CI[@UFg@C]Bi@CKFKAQFYCe@IQ@EBEG_@La@KiBJ{@C_@@?BT@b@GZEDC?@s@GOIEQE}BEg@IW?ECKB]CSBEY@q@Ca@A_AFeADa@D_CK]?UDSAMD_@CaA?oC@_ADYCkAGm@KWm@aAMi@i@aAAGCc@DETKFGN?BINGVGlCaABABDHAHQOg@kAuCIk@c@_AYe@A_@]s@]c@MUSq@Wq@GIEUBIPMp@Y`@Iv@CPO,00:02:46,151,48
2025-05-28|Scott|WeightTraining|93,2025-05-28,2025-05-28,WeightTraining,0,00:00:00,93,0,0,,Buhat wed. Nanginginig ako. But felt strong. Vol 7260kg,Scott,00:49:40,WeightTraining,,00:00:00,123,0
2025-05-29|Scott|Run|0,2025-05-29,2025-05-29,Easy Run,6.2,00:07:23,0,0,0,Novablast 5,Pucha panalo si novablast! No shin pain. First shoe i genuinely enjoyed. When extra easy today.,Scott,00:45:51,Run,,00:00:00,0,0
2025-05-30|Scott|WeightTraining|112,2025-05-30,2025-05-30,WeightTraining,0,00:00:00,112,0,0,,Buhat day. Hamstring still recovering from wed buhat. Thinking about shuffling buhat day to spread DOMS. 8160kg total,Scott,00:58:07,WeightTraining,,00:00:00,146,0
2025-05-31|Scott|Run|133,2025-05-31,2025-05-31,LSD Trail,12.03,00:07:22,133,151,0,Novablast 5,Easy run with a little uphill downhill sprints. Panalo si novablast kahit sa trail. Mas harsh sa paa sa road. ,Scott,01:28:42,Run,oceGihwxRkAeB}AOs@Nc@EaAf@yBdBs@Fg@SYW]{@g@wBa@k@C][]SA{@~A_@lAcB~Bc@\k@N[j@m@h@MXeAj@i@pAoAdA?LEFY@[LyAdA}@xCaBt@oArA]Je@^G@?EMRe@Tk@j@eAbB[XMf@FHNBzCGh@JLHRr@Ef@_@\cB`@cALg@EWPm@FIHFDu@nASNIACVW^GTk@Xe@z@QLA`@?h@J\Bh@Vl@d@r@F`AC^DNC`@FTTZBRVJ^zATt@OfADh@Rh@Bl@KD?H~@~DHvAGd@OXI`AUp@OR_@S_A\Q\?tAYn@Ib@eAZmAp@CLUJEJUtAa@x@uEGsADmAECKy@DmAAQGa@VU\F\XXHt@Ad@S|@Uj@QT?Tl@d@vAPDMEGtAKf@LXVBVINMpAHxACp@HRZh@z@fCHlATl@DXA^GBFd@KnADLSn@AZKNq@Fk@Ea@YsAwAEQ?De@?QIGMKHAFFTAz@z@fCZh@TNT@lA~@NAVFj@ZnAbAb@bARPCJRZJf@LFL\^b@Hn@rAjDbA|AJZ`@n@VTPDT~AGp@Vr@n@l@fBBh@IpAw@^q@P?RQbB_Ad@QDMT?\Md@e@b@SPUHe@|@wARu@h@w@TaAj@cAHq@b@i@N_@CI`@q@v@cCTS^q@TAHe@rBcDz@i@HO?WHOzCi@p@Tp@DnCMPG^uBG}BBqAx@uAt@_@fAP~@p@r@PvAClBWn@FfAIdC^Vq@Z[LkA|@yANu@|@o@p@@x@TTG^i@l@g@Tq@d@UVa@BQOOo@YiDwC?GaAc@u@aA[Kq@s@I?@Ki@QWg@gBcAq@kAk@S]Cm@HSIe@?o@Fu@i@Wg@@o@QOAKYs@Ya@Qw@Ku@PmA^i@xAiAP[DWG[K@AG{@]@G]_@Qa@a@[Sk@QqA\qCLc@L_A\i@PkARQB[r@_BAKD_@d@u@BWRQ@OPKNg@b@e@DYLUT[tA}@HO@YG[e@KmAFc@FeBb@k@IEc@TgAGcAFe@KIKaA`@q@v@WfB?rCXTEFa@IkCDqBI{Aw@gBaByCWOWu@FTp@~@Xx@v@dA^|@VZHVMvFFnBUReA[mAExC^PIDa@@sDDq@GgBeBqDy@wA_@_@,00:02:26,157,172
2025-06-01|Scott|Yoga|68,2025-06-01,2025-06-01,Yoga,,,68,,1,,Yoga with chona. Okay naman banayad lang.,Scott,00:42:47,Yoga,,,86,0
